CMDLINE ./chess
MEM 0.500000 1700625631.9603
MEM 35.750000 1700625632.0608
MEM 85.222656 1700625632.1615
MEM 92.347656 1700625632.2621
MEM 89.367188 1700625632.3627
MEM 89.367188 1700625632.4633
MEM 89.367188 1700625632.5637
MEM 89.367188 1700625632.6643
MEM 89.367188 1700625632.7647
MEM 89.367188 1700625632.8652
MEM 89.367188 1700625632.9656
MEM 89.367188 1700625633.0661
MEM 89.367188 1700625633.1665
MEM 89.367188 1700625633.2669
MEM 89.367188 1700625633.3674
MEM 89.367188 1700625633.4680
MEM 89.367188 1700625633.5689
MEM 89.367188 1700625633.6697
MEM 89.367188 1700625633.7703
MEM 89.367188 1700625633.8708
MEM 89.367188 1700625633.9713
MEM 89.367188 1700625634.0718
MEM 89.367188 1700625634.1725
MEM 89.367188 1700625634.2732
MEM 89.367188 1700625634.3743
MEM 89.367188 1700625634.4748
MEM 89.367188 1700625634.5753
MEM 89.367188 1700625634.6758
MEM 89.367188 1700625634.7766
MEM 89.367188 1700625634.8772
MEM 89.367188 1700625634.9778
MEM 89.367188 1700625635.0784
MEM 89.367188 1700625635.1790
MEM 89.367188 1700625635.2796
MEM 89.367188 1700625635.3802
MEM 89.367188 1700625635.4807
MEM 89.367188 1700625635.5812
MEM 89.367188 1700625635.6817
MEM 89.367188 1700625635.7823
MEM 89.367188 1700625635.8828
MEM 89.367188 1700625635.9833
MEM 89.367188 1700625636.0837
MEM 89.367188 1700625636.1843
MEM 89.367188 1700625636.2850
MEM 89.367188 1700625636.3856
MEM 89.367188 1700625636.4861
MEM 89.367188 1700625636.5866
MEM 89.367188 1700625636.6870
MEM 89.367188 1700625636.7879
MEM 89.367188 1700625636.8884
MEM 89.367188 1700625636.9891
MEM 89.367188 1700625637.0901
MEM 89.367188 1700625637.1906
MEM 89.367188 1700625637.2913
MEM 89.367188 1700625637.3919
MEM 89.367188 1700625637.4924
MEM 89.367188 1700625637.5929
MEM 89.367188 1700625637.6936
MEM 89.367188 1700625637.7943
MEM 89.367188 1700625637.8948
MEM 89.367188 1700625637.9955
MEM 89.367188 1700625638.0962
MEM 89.367188 1700625638.1967
MEM 89.367188 1700625638.2971
MEM 89.367188 1700625638.3978
MEM 89.367188 1700625638.4983
MEM 89.367188 1700625638.5988
MEM 89.367188 1700625638.6993
MEM 89.367188 1700625638.7998
MEM 89.367188 1700625638.9003
MEM 89.367188 1700625639.0010
MEM 89.367188 1700625639.1019
MEM 89.367188 1700625639.2023
MEM 89.367188 1700625639.3028
MEM 89.367188 1700625639.4033
MEM 89.367188 1700625639.5038
MEM 89.367188 1700625639.6043
MEM 89.367188 1700625639.7052
MEM 89.367188 1700625639.8058
MEM 89.367188 1700625639.9063
MEM 89.367188 1700625640.0066
MEM 89.367188 1700625640.1071
MEM 89.367188 1700625640.2081
MEM 89.367188 1700625640.3088
MEM 89.367188 1700625640.4093
MEM 89.367188 1700625640.5098
MEM 89.367188 1700625640.6102
MEM 89.367188 1700625640.7107
MEM 89.367188 1700625640.8114
MEM 89.367188 1700625640.9121
MEM 89.367188 1700625641.0126
MEM 89.367188 1700625641.1131
MEM 89.367188 1700625641.2135
MEM 89.367188 1700625641.3140
MEM 89.367188 1700625641.4145
MEM 89.367188 1700625641.5150
MEM 89.367188 1700625641.6158
MEM 89.367188 1700625641.7162
MEM 89.367188 1700625641.8168
MEM 89.367188 1700625641.9174
MEM 89.367188 1700625642.0180
MEM 89.367188 1700625642.1185
MEM 89.367188 1700625642.2192
MEM 89.367188 1700625642.3199
MEM 89.367188 1700625642.4207
MEM 89.367188 1700625642.5212
MEM 89.367188 1700625642.6217
MEM 89.367188 1700625642.7222
MEM 89.367188 1700625642.8227
MEM 89.367188 1700625642.9232
MEM 89.367188 1700625643.0238
MEM 89.367188 1700625643.1243
MEM 89.367188 1700625643.2248
MEM 89.367188 1700625643.3256
MEM 89.367188 1700625643.4263
MEM 89.367188 1700625643.5268
MEM 89.367188 1700625643.6275
MEM 89.367188 1700625643.7283
MEM 89.367188 1700625643.8290
MEM 89.367188 1700625643.9296
MEM 89.367188 1700625644.0301
MEM 89.367188 1700625644.1306
MEM 89.367188 1700625644.2311
MEM 89.367188 1700625644.3316
MEM 89.367188 1700625644.4322
MEM 89.367188 1700625644.5327
MEM 89.367188 1700625644.6332
MEM 89.367188 1700625644.7337
MEM 89.367188 1700625644.8346
MEM 89.367188 1700625644.9351
MEM 89.367188 1700625645.0357
MEM 89.367188 1700625645.1363
MEM 89.367188 1700625645.2368
MEM 89.367188 1700625645.3374
MEM 0.000000 1700625645.4379
